"ID","X","Y","Z","RackID"
"GF4927","100.0","10","175","0"
"MT9007","100.0","18","175","0"
"HB6049","100.0","26","175","0"
"ZT8531","100.0","34","175","0"
"HL0159","100.0","42","175","0"
"HY1507","100.0","50","175","0"
"ID0043","100.0","58","175","0"
"FW0970","100.0","66","175","0"
"HF5709","100.0","74","175","0"
"UF6510","100.0","82","175","0"
"MU2857","100.0","90","175","0"
"ZT4236","100.0","10","250","1"
"EI5782","100.0","18","250","1"
"CS8191","100.0","26","250","1"
"WJ8239","100.0","34","250","1"
"QU0266","100.0","42","250","1"
"RF8811","100.0","50","250","1"
"RE9947","100.0","58","250","1"
"MV3578","100.0","66","250","1"
"HZ0764","100.0","74","250","1"
"OR6976","100.0","82","250","1"
"UN4586","100.0","90","250","1"
"AL4490","100.0","10","325","2"
"MX6077","100.0","18","325","2"
"BN1438","100.0","26","325","2"
"KW5711","100.0","34","325","2"
"VJ2987","100.0","42","325","2"
"QY8453","100.0","50","325","2"
"TN5498","100.0","58","325","2"
"RG9589","100.0","66","325","2"
"CK5683","100.0","74","325","2"
"IZ3882","100.0","82","325","2"
"SO6012","100.0","90","325","2"
"AE4329","100.0","10","400","3"
"SL0817","100.0","18","400","3"
"LQ1122","100.0","26","400","3"
"LN9230","100.0","34","400","3"
"GS9791","100.0","42","400","3"
"DK8001","100.0","50","400","3"
"WM5746","100.0","58","400","3"
"PP7601","100.0","66","400","3"
"WQ6416","100.0","74","400","3"
"ND3834","100.0","82","400","3"
"HS4990","100.0","90","400","3"
"AG4047","100.0","10","475","4"
"CB1811","100.0","18","475","4"
"HI8709","100.0","26","475","4"
"QD7862","100.0","34","475","4"
"JJ7414","100.0","42","475","4"
"DO4695","100.0","50","475","4"
"GZ6372","100.0","58","475","4"
"SQ5721","100.0","66","475","4"
"WX2760","100.0","74","475","4"
"LU0689","100.0","82","475","4"
"GJ8477","100.0","90","475","4"
"SH4303","100.0","10","550","5"
"HR1281","100.0","18","550","5"
"YO1647","100.0","26","550","5"
"IR0381","100.0","34","550","5"
"GO4616","100.0","42","550","5"
"AR6488","100.0","50","550","5"
"MD9639","100.0","58","550","5"
"TJ1841","100.0","66","550","5"
"JR5873","100.0","74","550","5"
"OP9261","100.0","82","550","5"
"FA7703","100.0","90","550","5"
"YQ0181","100.0","10","625","6"
"WH9410","100.0","18","625","6"
"ZO0755","100.0","26","625","6"
"MM3824","100.0","34","625","6"
"AL0878","100.0","42","625","6"
"MI6798","100.0","50","625","6"
"YT3589","100.0","58","625","6"
"KI1035","100.0","66","625","6"
"WI6281","100.0","74","625","6"
"OO7112","100.0","82","625","6"
"TQ1578","100.0","90","625","6"
"EJ1762","100.0","10","700","7"
"PW7347","100.0","18","700","7"
"KT5283","100.0","26","700","7"
"YE8994","100.0","34","700","7"
"VT4210","100.0","42","700","7"
"UR3964","100.0","50","700","7"
"ZP2242","100.0","58","700","7"
"OQ7395","100.0","66","700","7"
"KE9920","100.0","74","700","7"
"NZ3125","100.0","82","700","7"
"JD0185","100.0","90","700","7"
"ED1511","100.0","10","775","8"
"IR8478","100.0","18","775","8"
"FV3258","100.0","26","775","8"
"EK4881","100.0","34","775","8"
"SD9041","100.0","42","775","8"
"XP9458","100.0","50","775","8"
"OG4781","100.0","58","775","8"
"VX7653","100.0","66","775","8"
"KY3467","100.0","74","775","8"
"BO9957","100.0","82","775","8"
"XC3720","100.0","90","775","8"
"OZ5721","200.0","10","175","9"
"LN9145","200.0","18","175","9"
"VQ5370","200.0","26","175","9"
"CQ7160","200.0","34","175","9"
"QV7499","200.0","42","175","9"
"HO0363","200.0","50","175","9"
"SW5984","200.0","58","175","9"
"JS2584","200.0","66","175","9"
"QQ2528","200.0","74","175","9"
"EQ7022","200.0","82","175","9"
"NY7989","200.0","90","175","9"
"RY1381","200.0","10","250","10"
"YD7174","200.0","18","250","10"
"MF0355","200.0","26","250","10"
"HS4334","200.0","34","250","10"
"WE1726","200.0","42","250","10"
"CN2270","200.0","50","250","10"
"QR7074","200.0","58","250","10"
"YC6480","200.0","66","250","10"
"EW4723","200.0","74","250","10"
"VV2687","200.0","82","250","10"
"WZ8160","200.0","90","250","10"
"CY9139","200.0","10","325","11"
"QY4490","200.0","18","325","11"
"CK6568","200.0","26","325","11"
"NN3859","200.0","34","325","11"
"CY1886","200.0","42","325","11"
"WC8970","200.0","50","325","11"
"JM6692","200.0","58","325","11"
"MD4931","200.0","66","325","11"
"TQ2617","200.0","74","325","11"
"VU9254","200.0","82","325","11"
"PL2116","200.0","90","325","11"
"BE1680","200.0","10","400","12"
"BK1503","200.0","18","400","12"
"UF4502","200.0","26","400","12"
"NI3292","200.0","34","400","12"
"BX4818","200.0","42","400","12"
"WL9095","200.0","50","400","12"
"DR4093","200.0","58","400","12"
"MA5204","200.0","66","400","12"
"LO1481","200.0","74","400","12"
"TB4352","200.0","82","400","12"
"LX6026","200.0","90","400","12"
"YQ4191","200.0","10","475","13"
"UJ7638","200.0","18","475","13"
"GF1394","200.0","26","475","13"
"BD8323","200.0","34","475","13"
"RY8956","200.0","42","475","13"
"DS5402","200.0","50","475","13"
"HL5681","200.0","58","475","13"
"WP9026","200.0","66","475","13"
"KT9406","200.0","74","475","13"
"QP3801","200.0","82","475","13"
"LY5357","200.0","90","475","13"
"VZ2280","200.0","10","550","14"
"OE6229","200.0","18","550","14"
"VV8908","200.0","26","550","14"
"HH2036","200.0","34","550","14"
"KR4276","200.0","42","550","14"
"HW3123","200.0","50","550","14"
"SY7535","200.0","58","550","14"
"BH5865","200.0","66","550","14"
"QH5679","200.0","74","550","14"
"SC4839","200.0","82","550","14"
"CM5084","200.0","90","550","14"
"AF5708","200.0","10","625","15"
"WN1624","200.0","18","625","15"
"XJ1539","200.0","26","625","15"
"MK1759","200.0","34","625","15"
"ZO0787","200.0","42","625","15"
"JB7889","200.0","50","625","15"
"HN3809","200.0","58","625","15"
"TM2768","200.0","66","625","15"
"IB9723","200.0","74","625","15"
"KX5697","200.0","82","625","15"
"WR2699","200.0","90","625","15"
"YU4917","200.0","10","700","16"
"PT1844","200.0","18","700","16"
"QW0407","200.0","26","700","16"
"JS2689","200.0","34","700","16"
"QE5294","200.0","42","700","16"
"VR2081","200.0","50","700","16"
"EI9730","200.0","58","700","16"
"EO3112","200.0","66","700","16"
"SE2607","200.0","74","700","16"
"AL5970","200.0","82","700","16"
"AM0165","200.0","90","700","16"
"PU7079","200.0","10","775","17"
"UW0884","200.0","18","775","17"
"MJ4320","200.0","26","775","17"
"SY6994","200.0","34","775","17"
"QL6601","200.0","42","775","17"
"WI9141","200.0","50","775","17"
"BT0280","200.0","58","775","17"
"MZ4481","200.0","66","775","17"
"RY2812","200.0","74","775","17"
"TI5035","200.0","82","775","17"
"GH2492","200.0","90","775","17"
"IK6669","400.0","10","175","18"
"QT4397","400.0","18","175","18"
"NB1111","400.0","26","175","18"
"GP2928","400.0","34","175","18"
"TX5863","400.0","42","175","18"
"CG0006","400.0","50","175","18"
"AI2470","400.0","58","175","18"
"ZR1844","400.0","66","175","18"
"AX6025","400.0","74","175","18"
"HD6154","400.0","82","175","18"
"NJ6487","400.0","90","175","18"
"SA5552","400.0","10","250","19"
"MK8881","400.0","18","250","19"
"UC9223","400.0","26","250","19"
"XB4931","400.0","34","250","19"
"OQ4512","400.0","42","250","19"
"GN8060","400.0","50","250","19"
"EV6466","400.0","58","250","19"
"YT5917","400.0","66","250","19"
"KW6716","400.0","74","250","19"
"YO2364","400.0","82","250","19"
"VJ1200","400.0","90","250","19"
"QR2916","400.0","10","325","20"
"HM7852","400.0","18","325","20"
"PT5231","400.0","26","325","20"
"TX8951","400.0","34","325","20"
"QP9784","400.0","42","325","20"
"AR5527","400.0","50","325","20"
"NV2756","400.0","58","325","20"
"SO4085","400.0","66","325","20"
"XH3484","400.0","74","325","20"
"PF4015","400.0","82","325","20"
"BL2003","400.0","90","325","20"
"EU6016","400.0","10","400","21"
"HZ1010","400.0","18","400","21"
"UI0195","400.0","26","400","21"
"HS5253","400.0","34","400","21"
"IP1668","400.0","42","400","21"
"DE9401","400.0","50","400","21"
"QT0313","400.0","58","400","21"
"QQ1852","400.0","66","400","21"
"RK3638","400.0","74","400","21"
"LF0087","400.0","82","400","21"
"QQ3076","400.0","90","400","21"
"XJ1570","400.0","10","475","22"
"DI1927","400.0","18","475","22"
"OZ9409","400.0","26","475","22"
"JD5992","400.0","34","475","22"
"HX7020","400.0","42","475","22"
"JU3799","400.0","50","475","22"
"TJ7768","400.0","58","475","22"
"PM5627","400.0","66","475","22"
"RP8659","400.0","74","475","22"
"FC1800","400.0","82","475","22"
"UV8888","400.0","90","475","22"
"OC7972","400.0","10","550","23"
"KG4459","400.0","18","550","23"
"YU7574","400.0","26","550","23"
"WM0826","400.0","34","550","23"
"RR2567","400.0","42","550","23"
"XP3168","400.0","50","550","23"
"UX5417","400.0","58","550","23"
"UF3350","400.0","66","550","23"
"CN5911","400.0","74","550","23"
"ZD6218","400.0","82","550","23"
"LJ0767","400.0","90","550","23"
"SN0362","400.0","10","625","24"
"AX7795","400.0","18","625","24"
"LT8627","400.0","26","625","24"
"VL1436","400.0","34","625","24"
"TL1988","400.0","42","625","24"
"SI5507","400.0","50","625","24"
"AZ7095","400.0","58","625","24"
"UT4351","400.0","66","625","24"
"AK9677","400.0","74","625","24"
"EK9527","400.0","82","625","24"
"PQ7355","400.0","90","625","24"
"WS9469","400.0","10","700","25"
"ZE2192","400.0","18","700","25"
"CY7326","400.0","26","700","25"
"MM5841","400.0","34","700","25"
"RM6119","400.0","42","700","25"
"OL2363","400.0","50","700","25"
"FH7995","400.0","58","700","25"
"NT2038","400.0","66","700","25"
"KV9246","400.0","74","700","25"
"GN2906","400.0","82","700","25"
"LP0255","400.0","90","700","25"
"TZ1386","400.0","10","775","26"
"HD8029","400.0","18","775","26"
"JJ6482","400.0","26","775","26"
"IU7481","400.0","34","775","26"
"RE8658","400.0","42","775","26"
"LL7269","400.0","50","775","26"
"LY5318","400.0","58","775","26"
"PK7306","400.0","66","775","26"
"RJ6688","400.0","74","775","26"
"NK3255","400.0","82","775","26"
"KP5289","400.0","90","775","26"
"AS5180","500.0","10","175","27"
"DY2814","500.0","18","175","27"
"VE8499","500.0","26","175","27"
"LN7915","500.0","34","175","27"
"FZ4553","500.0","42","175","27"
"JC1978","500.0","50","175","27"
"JB6520","500.0","58","175","27"
"XG1874","500.0","66","175","27"
"XY5744","500.0","74","175","27"
"PE3602","500.0","82","175","27"
"JB4000","500.0","90","175","27"
"GE9174","500.0","10","250","28"
"JY4483","500.0","18","250","28"
"OJ8577","500.0","26","250","28"
"AN5048","500.0","34","250","28"
"GJ3385","500.0","42","250","28"
"HE8301","500.0","50","250","28"
"PG4570","500.0","58","250","28"
"FU4139","500.0","66","250","28"
"CU6403","500.0","74","250","28"
"OX6169","500.0","82","250","28"
"JS3834","500.0","90","250","28"
"RQ4209","500.0","10","325","29"
"UB4696","500.0","18","325","29"
"DD3378","500.0","26","325","29"
"VL3255","500.0","34","325","29"
"AR9984","500.0","42","325","29"
"RS0128","500.0","50","325","29"
"TQ1162","500.0","58","325","29"
"VV2850","500.0","66","325","29"
"QY6517","500.0","74","325","29"
"LP1745","500.0","82","325","29"
"YR0725","500.0","90","325","29"
"MI5150","500.0","10","400","30"
"AD1326","500.0","18","400","30"
"PF5332","500.0","26","400","30"
"YH4042","500.0","34","400","30"
"RA6567","500.0","42","400","30"
"LW3831","500.0","50","400","30"
"WJ7682","500.0","58","400","30"
"KA4278","500.0","66","400","30"
"XA9745","500.0","74","400","30"
"NJ5352","500.0","82","400","30"
"BP6595","500.0","90","400","30"
"FU0795","500.0","10","475","31"
"IB3537","500.0","18","475","31"
"UQ5543","500.0","26","475","31"
"KM2509","500.0","34","475","31"
"XK7927","500.0","42","475","31"
"UM9870","500.0","50","475","31"
"WK3142","500.0","58","475","31"
"YV7800","500.0","66","475","31"
"FY5601","500.0","74","475","31"
"SQ2685","500.0","82","475","31"
"DT4727","500.0","90","475","31"
"RT9872","500.0","10","550","32"
"VP4579","500.0","18","550","32"
"PG7506","500.0","26","550","32"
"OY2359","500.0","34","550","32"
"KU5027","500.0","42","550","32"
"TU9465","500.0","50","550","32"
"CD4778","500.0","58","550","32"
"GM9675","500.0","66","550","32"
"KY3545","500.0","74","550","32"
"JM0313","500.0","82","550","32"
"MT1381","500.0","90","550","32"
"WJ1082","500.0","10","625","33"
"DS9784","500.0","18","625","33"
"VP5350","500.0","26","625","33"
"ZR4214","500.0","34","625","33"
"JL2761","500.0","42","625","33"
"AX8481","500.0","50","625","33"
"ZR2336","500.0","58","625","33"
"YX7430","500.0","66","625","33"
"TS9292","500.0","74","625","33"
"QS2634","500.0","82","625","33"
"DG8372","500.0","90","625","33"
"PS6678","500.0","10","700","34"
"IK9067","500.0","18","700","34"
"PM6210","500.0","26","700","34"
"RQ3365","500.0","34","700","34"
"YT3578","500.0","42","700","34"
"DI2794","500.0","50","700","34"
"NQ2675","500.0","58","700","34"
"AD0998","500.0","66","700","34"
"IL3940","500.0","74","700","34"
"ZH9755","500.0","82","700","34"
"WN6287","500.0","90","700","34"
"RC6813","500.0","10","775","35"
"RU8243","500.0","18","775","35"
"EQ4844","500.0","26","775","35"
"BI5598","500.0","34","775","35"
"UF5335","500.0","42","775","35"
"QP0868","500.0","50","775","35"
"HX6798","500.0","58","775","35"
"GA8080","500.0","66","775","35"
"MT5256","500.0","74","775","35"
"FH4316","500.0","82","775","35"
"QN7247","500.0","90","775","35"
"JC5525","700.0","10","175","36"
"AX8649","700.0","18","175","36"
"VE7468","700.0","26","175","36"
"CN7799","700.0","34","175","36"
"ST3328","700.0","42","175","36"
"LU0394","700.0","50","175","36"
"IZ1179","700.0","58","175","36"
"MJ0892","700.0","66","175","36"
"BJ9086","700.0","74","175","36"
"IA2643","700.0","82","175","36"
"KE1012","700.0","90","175","36"
"BG5497","700.0","10","250","37"
"FG3365","700.0","18","250","37"
"CA6163","700.0","26","250","37"
"ZS3042","700.0","34","250","37"
"VR3398","700.0","42","250","37"
"JN6492","700.0","50","250","37"
"GZ5233","700.0","58","250","37"
"YG2606","700.0","66","250","37"
"TJ9218","700.0","74","250","37"
"MV5378","700.0","82","250","37"
"CY5343","700.0","90","250","37"
"IT9185","700.0","10","325","38"
"EO4068","700.0","18","325","38"
"EA5946","700.0","26","325","38"
"PR3150","700.0","34","325","38"
"PR3639","700.0","42","325","38"
"KR6281","700.0","50","325","38"
"GO6986","700.0","58","325","38"
"UF6543","700.0","66","325","38"
"FW9360","700.0","74","325","38"
"EZ3028","700.0","82","325","38"
"YV6020","700.0","90","325","38"
"HZ9773","700.0","10","400","39"
"KY8987","700.0","18","400","39"
"NS4825","700.0","26","400","39"
"GN7898","700.0","34","400","39"
"FB3069","700.0","42","400","39"
"PX8293","700.0","50","400","39"
"YI4038","700.0","58","400","39"
"YN3107","700.0","66","400","39"
"EY1637","700.0","74","400","39"
"TC2190","700.0","82","400","39"
"HJ9346","700.0","90","400","39"
"XP7688","700.0","10","475","40"
"VL8724","700.0","18","475","40"
"PQ4207","700.0","26","475","40"
"JL9581","700.0","34","475","40"
"QK3738","700.0","42","475","40"
"ON4964","700.0","50","475","40"
"UE5483","700.0","58","475","40"
"SQ9553","700.0","66","475","40"
"MN4777","700.0","74","475","40"
"XS1933","700.0","82","475","40"
"BT1991","700.0","90","475","40"
"UD0086","700.0","10","550","41"
"UG8075","700.0","18","550","41"
"OP8523","700.0","26","550","41"
"IK3560","700.0","34","550","41"
"PB0283","700.0","42","550","41"
"FA4983","700.0","50","550","41"
"DQ1240","700.0","58","550","41"
"QY8255","700.0","66","550","41"
"XC6773","700.0","74","550","41"
"GR4724","700.0","82","550","41"
"YB3130","700.0","90","550","41"
"OM9935","700.0","10","625","42"
"JQ6828","700.0","18","625","42"
"LU4448","700.0","26","625","42"
"GY7790","700.0","34","625","42"
"MI7618","700.0","42","625","42"
"YS4623","700.0","50","625","42"
"RX9547","700.0","58","625","42"
"HQ7108","700.0","66","625","42"
"SC0423","700.0","74","625","42"
"IX9831","700.0","82","625","42"
"MA1595","700.0","90","625","42"
"CP2691","700.0","10","700","43"
"ZR7741","700.0","18","700","43"
"VY2638","700.0","26","700","43"
"JY1289","700.0","34","700","43"
"RG8584","700.0","42","700","43"
"RT5326","700.0","50","700","43"
"NJ2622","700.0","58","700","43"
"TB6453","700.0","66","700","43"
"FN4380","700.0","74","700","43"
"MZ1524","700.0","82","700","43"
"YC4142","700.0","90","700","43"
"WH6701","700.0","10","775","44"
"OG9748","700.0","18","775","44"
"CP2786","700.0","26","775","44"
"PC8382","700.0","34","775","44"
"WG1253","700.0","42","775","44"
"WY0358","700.0","50","775","44"
"UK8057","700.0","58","775","44"
"JG8113","700.0","66","775","44"
"HI9344","700.0","74","775","44"
"PD7569","700.0","82","775","44"
"NB2738","700.0","90","775","44"
"SP4247","800.0","10","175","45"
"CN3405","800.0","18","175","45"
"CB1347","800.0","26","175","45"
"PZ1109","800.0","34","175","45"
"ZM0827","800.0","42","175","45"
"OD0144","800.0","50","175","45"
"VH5493","800.0","58","175","45"
"YR7042","800.0","66","175","45"
"AL3083","800.0","74","175","45"
"VM5398","800.0","82","175","45"
"EV7304","800.0","90","175","45"
"XN7018","800.0","10","250","46"
"RN4983","800.0","18","250","46"
"YN7301","800.0","26","250","46"
"GB5072","800.0","34","250","46"
"MW3020","800.0","42","250","46"
"ST4162","800.0","50","250","46"
"GY2156","800.0","58","250","46"
"QA4169","800.0","66","250","46"
"TQ4708","800.0","74","250","46"
"OX7381","800.0","82","250","46"
"IN3492","800.0","90","250","46"
"NA0604","800.0","10","325","47"
"GB5414","800.0","18","325","47"
"MS5605","800.0","26","325","47"
"YF3284","800.0","34","325","47"
"CO4095","800.0","42","325","47"
"FU9507","800.0","50","325","47"
"GV3471","800.0","58","325","47"
"OL9254","800.0","66","325","47"
"OQ4985","800.0","74","325","47"
"ZW5563","800.0","82","325","47"
"RU1341","800.0","90","325","47"
"XY5098","800.0","10","400","48"
"GT9070","800.0","18","400","48"
"HK0894","800.0","26","400","48"
"RV4832","800.0","34","400","48"
"FS0022","800.0","42","400","48"
"XU1918","800.0","50","400","48"
"HS0850","800.0","58","400","48"
"KE4172","800.0","66","400","48"
"VG8367","800.0","74","400","48"
"DO3082","800.0","82","400","48"
"WH1277","800.0","90","400","48"
"IA4684","800.0","10","475","49"
"EG5206","800.0","18","475","49"
"ES2211","800.0","26","475","49"
"BL3014","800.0","34","475","49"
"DA5505","800.0","42","475","49"
"DX4935","800.0","50","475","49"
"WX2653","800.0","58","475","49"
"UC1005","800.0","66","475","49"
"IM1448","800.0","74","475","49"
"UA7773","800.0","82","475","49"
"ZH3834","800.0","90","475","49"
"ZL3063","800.0","10","550","50"
"PH5933","800.0","18","550","50"
"PL8006","800.0","26","550","50"
"KW4518","800.0","34","550","50"
"CA1102","800.0","42","550","50"
"LB3540","800.0","50","550","50"
"YW8603","800.0","58","550","50"
"GU6596","800.0","66","550","50"
"JN5756","800.0","74","550","50"
"EP0907","800.0","82","550","50"
"SA5208","800.0","90","550","50"
"DA6815","800.0","10","625","51"
"LN8793","800.0","18","625","51"
"OO9302","800.0","26","625","51"
"LM1073","800.0","34","625","51"
"LC1017","800.0","42","625","51"
"WU1865","800.0","50","625","51"
"OQ1727","800.0","58","625","51"
"WE4308","800.0","66","625","51"
"ZE6787","800.0","74","625","51"
"BX9298","800.0","82","625","51"
"NG6420","800.0","90","625","51"
"AG0275","800.0","10","700","52"
"SW1939","800.0","18","700","52"
"FF5602","800.0","26","700","52"
"ZE0811","800.0","34","700","52"
"NM6324","800.0","42","700","52"
"BQ3310","800.0","50","700","52"
"MS2330","800.0","58","700","52"
"LO3117","800.0","66","700","52"
"YI8176","800.0","74","700","52"
"GS6338","800.0","82","700","52"
"MV4717","800.0","90","700","52"
"VX7883","800.0","10","775","53"
"LC0844","800.0","18","775","53"
"WS5119","800.0","26","775","53"
"BG0733","800.0","34","775","53"
"AF6019","800.0","42","775","53"
"OZ8943","800.0","50","775","53"
"TA8129","800.0","58","775","53"
"IF1594","800.0","66","775","53"
"LC6035","800.0","74","775","53"
"PA4006","800.0","82","775","53"
"IP0495","800.0","90","775","53"
"PT8043","1000.0","10","175","54"
"FJ3476","1000.0","18","175","54"
"JQ4057","1000.0","26","175","54"
"DO3509","1000.0","34","175","54"
"GJ8505","1000.0","42","175","54"
"WE5140","1000.0","50","175","54"
"RD4885","1000.0","58","175","54"
"LT2140","1000.0","66","175","54"
"ZP0776","1000.0","74","175","54"
"VU9535","1000.0","82","175","54"
"QM1261","1000.0","90","175","54"
"FT1586","1000.0","10","250","55"
"NW8953","1000.0","18","250","55"
"YH4835","1000.0","26","250","55"
"WZ1983","1000.0","34","250","55"
"HC0464","1000.0","42","250","55"
"YU0508","1000.0","50","250","55"
"UM0810","1000.0","58","250","55"
"FI8263","1000.0","66","250","55"
"JH9317","1000.0","74","250","55"
"UP3948","1000.0","82","250","55"
"HY0672","1000.0","90","250","55"
"XX0098","1000.0","10","325","56"
"ZP8120","1000.0","18","325","56"
"LV4525","1000.0","26","325","56"
"NP6928","1000.0","34","325","56"
"FQ8519","1000.0","42","325","56"
"BF8121","1000.0","50","325","56"
"GC6201","1000.0","58","325","56"
"TA1705","1000.0","66","325","56"
"MG5861","1000.0","74","325","56"
"NE5894","1000.0","82","325","56"
"VA7157","1000.0","90","325","56"
"MO1122","1000.0","10","400","57"
"KL7695","1000.0","18","400","57"
"AN8123","1000.0","26","400","57"
"OH1910","1000.0","34","400","57"
"OS2640","1000.0","42","400","57"
"FZ0660","1000.0","50","400","57"
"UK5721","1000.0","58","400","57"
"XH3011","1000.0","66","400","57"
"TR2267","1000.0","74","400","57"
"PR5606","1000.0","82","400","57"
"HB8524","1000.0","90","400","57"
"SF6336","1000.0","10","475","58"
"MD9585","1000.0","18","475","58"
"QH9614","1000.0","26","475","58"
"EB0699","1000.0","34","475","58"
"PU4831","1000.0","42","475","58"
"DB6706","1000.0","50","475","58"
"OF6304","1000.0","58","475","58"
"LD8985","1000.0","66","475","58"
"DK0050","1000.0","74","475","58"
"NB2037","1000.0","82","475","58"
"UZ5982","1000.0","90","475","58"
"UD1932","1000.0","10","550","59"
"DZ7865","1000.0","18","550","59"
"IN3546","1000.0","26","550","59"
"SJ5300","1000.0","34","550","59"
"AU1418","1000.0","42","550","59"
"MY6554","1000.0","50","550","59"
"UO0270","1000.0","58","550","59"
"FI8915","1000.0","66","550","59"
"AJ8679","1000.0","74","550","59"
"KC4745","1000.0","82","550","59"
"AD3282","1000.0","90","550","59"
"EN9539","1000.0","10","625","60"
"QU3370","1000.0","18","625","60"
"QK1113","1000.0","26","625","60"
"OA5063","1000.0","34","625","60"
"JO8248","1000.0","42","625","60"
"QL2672","1000.0","50","625","60"
"EI9022","1000.0","58","625","60"
"TS3336","1000.0","66","625","60"
"XZ6760","1000.0","74","625","60"
"WZ8285","1000.0","82","625","60"
"QT0334","1000.0","90","625","60"
"RL2464","1000.0","10","700","61"
"SZ9470","1000.0","18","700","61"
"RS1000","1000.0","26","700","61"
"PQ4490","1000.0","34","700","61"
"OQ3906","1000.0","42","700","61"
"YL8486","1000.0","50","700","61"
"IL9318","1000.0","58","700","61"
"EJ2393","1000.0","66","700","61"
"XO3345","1000.0","74","700","61"
"YT7121","1000.0","82","700","61"
"SL7964","1000.0","90","700","61"
"XF1218","1000.0","10","775","62"
"BF3387","1000.0","18","775","62"
"FK2763","1000.0","26","775","62"
"VY8633","1000.0","34","775","62"
"CZ5948","1000.0","42","775","62"
"KM3920","1000.0","50","775","62"
"JM2294","1000.0","58","775","62"
"PX0576","1000.0","66","775","62"
"HR2870","1000.0","74","775","62"
"UO5734","1000.0","82","775","62"
"TQ0489","1000.0","90","775","62"
"YX9292","1100.0","10","175","63"
"MZ3308","1100.0","18","175","63"
"LR2639","1100.0","26","175","63"
"II0565","1100.0","34","175","63"
"BE4989","1100.0","42","175","63"
"OQ5887","1100.0","50","175","63"
"II4596","1100.0","58","175","63"
"AT6519","1100.0","66","175","63"
"VO8726","1100.0","74","175","63"
"DU0162","1100.0","82","175","63"
"MM9717","1100.0","90","175","63"
"AV9932","1100.0","10","250","64"
"PW0697","1100.0","18","250","64"
"VU2302","1100.0","26","250","64"
"MG0241","1100.0","34","250","64"
"EA2353","1100.0","42","250","64"
"FC0177","1100.0","50","250","64"
"FF1637","1100.0","58","250","64"
"YU6027","1100.0","66","250","64"
"NL3051","1100.0","74","250","64"
"HO9520","1100.0","82","250","64"
"FZ9465","1100.0","90","250","64"
"NN4420","1100.0","10","325","65"
"NE7178","1100.0","18","325","65"
"TP4950","1100.0","26","325","65"
"SW1701","1100.0","34","325","65"
"HM3421","1100.0","42","325","65"
"VA9730","1100.0","50","325","65"
"LA2321","1100.0","58","325","65"
"ED4423","1100.0","66","325","65"
"BW3987","1100.0","74","325","65"
"VE1996","1100.0","82","325","65"
"MF5568","1100.0","90","325","65"
"KN4656","1100.0","10","400","66"
"RN0311","1100.0","18","400","66"
"MI3470","1100.0","26","400","66"
"MU1105","1100.0","34","400","66"
"AI6649","1100.0","42","400","66"
"WX3936","1100.0","50","400","66"
"YR1504","1100.0","58","400","66"
"NT4179","1100.0","66","400","66"
"GZ2640","1100.0","74","400","66"
"OM6547","1100.0","82","400","66"
"JD4084","1100.0","90","400","66"
"QW7068","1100.0","10","475","67"
"IJ2390","1100.0","18","475","67"
"SH6329","1100.0","26","475","67"
"TI9863","1100.0","34","475","67"
"WU0775","1100.0","42","475","67"
"HF8012","1100.0","50","475","67"
"GZ9937","1100.0","58","475","67"
"VR9306","1100.0","66","475","67"
"ZD8718","1100.0","74","475","67"
"HE9381","1100.0","82","475","67"
"JH2342","1100.0","90","475","67"
"LO6464","1100.0","10","550","68"
"RO9601","1100.0","18","550","68"
"VV8246","1100.0","26","550","68"
"CA4860","1100.0","34","550","68"
"AG4034","1100.0","42","550","68"
"GL8343","1100.0","50","550","68"
"WZ6966","1100.0","58","550","68"
"BM1973","1100.0","66","550","68"
"DH8630","1100.0","74","550","68"
"UJ6018","1100.0","82","550","68"
"SP8987","1100.0","90","550","68"
"EM9181","1100.0","10","625","69"
"NK5404","1100.0","18","625","69"
"BD3672","1100.0","26","625","69"
"TQ7696","1100.0","34","625","69"
"UW8751","1100.0","42","625","69"
"IW2817","1100.0","50","625","69"
"ZK3310","1100.0","58","625","69"
"EZ1252","1100.0","66","625","69"
"RF8135","1100.0","74","625","69"
"ML0678","1100.0","82","625","69"
"TY0816","1100.0","90","625","69"
"BE1599","1100.0","10","700","70"
"YH1958","1100.0","18","700","70"
"TM4984","1100.0","26","700","70"
"WG9051","1100.0","34","700","70"
"ON3837","1100.0","42","700","70"
"PW7986","1100.0","50","700","70"
"ZW3068","1100.0","58","700","70"
"PX8122","1100.0","66","700","70"
"RC8291","1100.0","74","700","70"
"GZ8549","1100.0","82","700","70"
"PS4200","1100.0","90","700","70"
"FD6470","1100.0","10","775","71"
"RV2201","1100.0","18","775","71"
"ZM4980","1100.0","26","775","71"
"JN6972","1100.0","34","775","71"
"WD9717","1100.0","42","775","71"
"EG3793","1100.0","50","775","71"
"BC2513","1100.0","58","775","71"
"VQ2310","1100.0","66","775","71"
"QD6297","1100.0","74","775","71"
"SR6728","1100.0","82","775","71"
"GG3496","1100.0","90","775","71"
